BOOK_ORDER,BOOK_ABBREV,BOOK,CHAPTER,VERSE,READING
13,1 Chr,1+Chronicles,23,3,
13,1 Chr,1+Chronicles,23,30,
13,1 Chr,1+Chronicles,23,31,
13,1 Chr,1+Chronicles,23,32,
13,1 Chr,1+Chronicles,23,4,
13,1 Chr,1+Chronicles,23,5,
13,1 Chr,1+Chronicles,23,6,
13,1 Chr,1+Chronicles,23,7,
13,1 Chr,1+Chronicles,23,8,
13,1 Chr,1+Chronicles,23,9,
13,1 Chr,1+Chronicles,19,1,
13,1 Chr,1+Chronicles,19,10,
13,1 Chr,1+Chronicles,19,11,
13,1 Chr,1+Chronicles,19,12,
13,1 Chr,1+Chronicles,19,13,
13,1 Chr,1+Chronicles,19,14,
13,1 Chr,1+Chronicles,19,15,
13,1 Chr,1+Chronicles,19,16,
13,1 Chr,1+Chronicles,19,17,
13,1 Chr,1+Chronicles,19,18,
13,1 Chr,1+Chronicles,19,19,
13,1 Chr,1+Chronicles,19,2,
13,1 Chr,1+Chronicles,19,3,
13,1 Chr,1+Chronicles,19,4,
13,1 Chr,1+Chronicles,19,5,
13,1 Chr,1+Chronicles,19,6,
13,1 Chr,1+Chronicles,19,7,
13,1 Chr,1+Chronicles,19,8,
13,1 Chr,1+Chronicles,19,9,
13,1 Chr,1+Chronicles,2,1,
13,1 Chr,1+Chronicles,2,10,
13,1 Chr,1+Chronicles,2,11,
13,1 Chr,1+Chronicles,2,12,
13,1 Chr,1+Chronicles,2,13,
13,1 Chr,1+Chronicles,2,14,
13,1 Chr,1+Chronicles,2,15,
13,1 Chr,1+Chronicles,2,16,
13,1 Chr,1+Chronicles,2,17,
13,1 Chr,1+Chronicles,2,18,
13,1 Chr,1+Chronicles,2,19,
13,1 Chr,1+Chronicles,2,2,
13,1 Chr,1+Chronicles,2,20,
13,1 Chr,1+Chronicles,2,21,
13,1 Chr,1+Chronicles,2,22,
13,1 Chr,1+Chronicles,2,23,
13,1 Chr,1+Chronicles,2,24,
13,1 Chr,1+Chronicles,2,25,
13,1 Chr,1+Chronicles,2,26,
13,1 Chr,1+Chronicles,2,27,
13,1 Chr,1+Chronicles,2,28,
13,1 Chr,1+Chronicles,2,29,
13,1 Chr,1+Chronicles,2,3,
13,1 Chr,1+Chronicles,2,30,
13,1 Chr,1+Chronicles,2,31,
13,1 Chr,1+Chronicles,2,32,
13,1 Chr,1+Chronicles,2,33,
13,1 Chr,1+Chronicles,2,34,
13,1 Chr,1+Chronicles,2,35,
13,1 Chr,1+Chronicles,2,36,
13,1 Chr,1+Chronicles,2,37,
13,1 Chr,1+Chronicles,2,38,
13,1 Chr,1+Chronicles,2,39,
13,1 Chr,1+Chronicles,2,4,
13,1 Chr,1+Chronicles,2,40,
13,1 Chr,1+Chronicles,2,41,
13,1 Chr,1+Chronicles,2,42,
13,1 Chr,1+Chronicles,2,43,
13,1 Chr,1+Chronicles,2,44,
13,1 Chr,1+Chronicles,2,45,
13,1 Chr,1+Chronicles,2,46,
13,1 Chr,1+Chronicles,2,47,
13,1 Chr,1+Chronicles,2,48,
13,1 Chr,1+Chronicles,2,49,
13,1 Chr,1+Chronicles,2,5,
13,1 Chr,1+Chronicles,2,50,
13,1 Chr,1+Chronicles,2,51,
13,1 Chr,1+Chronicles,2,52,
13,1 Chr,1+Chronicles,2,53,
13,1 Chr,1+Chronicles,2,54,
13,1 Chr,1+Chronicles,2,55,
13,1 Chr,1+Chronicles,2,6,
13,1 Chr,1+Chronicles,2,7,
13,1 Chr,1+Chronicles,2,8,
13,1 Chr,1+Chronicles,2,9,
13,1 Chr,1+Chronicles,15,1,
13,1 Chr,1+Chronicles,15,10,
13,1 Chr,1+Chronicles,15,11,
13,1 Chr,1+Chronicles,15,12,
13,1 Chr,1+Chronicles,15,13,
13,1 Chr,1+Chronicles,15,14,
13,1 Chr,1+Chronicles,15,15,
